Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1220","CR1220-2",-92.000000,25.500000,90.000000,bottom
"C1","10u","C0805",-4.125000,18.960000,-90.000000,bottom
"C2","10u","C0805",-6.125000,18.960000,-90.000000,bottom
"C3","10u","C0805",-8.125000,18.960000,-90.000000,bottom
"C4","10u","C0805",-10.125000,18.960000,-90.000000,bottom
"C5","10u","C0805",-12.125000,18.960000,-90.000000,bottom
"C6","10u","C0805",-4.125000,14.960000,90.000000,bottom
"C7","10u","C0805",-6.125000,14.960000,90.000000,bottom
"C8","10u","C0805",-8.125000,14.960000,90.000000,bottom
"C9","10u","C0805",-10.125000,14.960000,90.000000,bottom
"C10","10u","C0805",-12.125000,14.960000,90.000000,bottom
"C14","10u","C0805",-10.600000,9.500000,-90.000000,bottom
"C15","10u","C0805",-12.600000,9.500000,-90.000000,bottom
"C16","10u","C0805",-14.600000,9.500000,-90.000000,bottom
"C17","10u","C0805",-16.600000,9.500000,-90.000000,bottom
"C18","10u","C0805",-18.600000,9.500000,-90.000000,bottom
"C19","10u","C0805",-10.600000,5.500000,90.000000,bottom
"C20","10u","C0805",-12.600000,5.500000,90.000000,bottom
"C21","10u","C0805",-14.600000,5.500000,90.000000,bottom
"C22","10u","C0805",-16.600000,5.500000,90.000000,bottom
"C23","10u","C0805",-18.600000,5.500000,90.000000,bottom
"C27","100n","C0603",-61.800000,65.100000,-90.000000,bottom
"C28","10n","C0603",-53.800000,82.600000,0.000000,bottom
"C29","100n","C0603",-55.500000,77.082023,0.000000,bottom
"C30","10n","C0603",-57.190001,82.600000,180.000000,bottom
"C31","100n","C0603",-59.600000,73.500000,90.000000,bottom
"C32","1u","C0603",-61.400000,73.500000,90.000000,bottom
"C33","100n","C0603",-97.000000,34.000000,-90.000000,bottom
"D1","1N4148WS","SOD-323",-88.000000,16.000000,0.000000,bottom
"D2","B5819W","SOD-123",-19.000000,70.500000,90.000000,bottom
"D4","B5819W","SOD-123",-19.000000,78.000000,90.000000,bottom
"D6","PSM712-LF","SOT-23",-5.500000,79.500000,-90.000000,bottom
"D7","PSM712-LF","SOT-23",-5.800000,75.600000,0.000000,bottom
"D8","NUP2105L","SOT-23",-55.500000,79.582023,-90.000000,bottom
"L1","470R@100MHz","L_0603_1608Metric",-56.500000,85.000000,-90.000000,bottom
"L2","470R@100MHz","L_0603_1608Metric",-54.500000,85.000000,-90.000000,bottom
"Q1","ZXMS6005SGTA","SOT-223",-26.000000,70.000000,0.000000,bottom
"Q3","ZXMS6005SGTA","SOT-223",-26.000000,77.500000,0.000000,bottom
"Q5","AO3400A","SOT-23",-5.500000,83.600000,-90.000000,bottom
"Q6","AO3400A","SOT-23",-1.900000,75.600000,0.000000,bottom
"Q13","ZXMS6005SGTA","SOT-223",-3.500000,69.100000,90.000000,bottom
"Q14","ZXMS6005SGTA","SOT-223",-34.500000,37.500000,90.000000,bottom
"Q15","ZXMS6005SGTA","SOT-223",-3.500000,60.100000,90.000000,bottom
"Q18","ZXMS6005SGTA","SOT-223",-3.500000,51.100000,90.000000,bottom
"R2","33k","R0603",-16.000000,21.000000,90.000000,bottom
"R3","6.8k","R0603",-16.000000,18.000000,90.000000,bottom
"R5","0","R0603",-56.900000,61.800000,-90.000000,bottom
"R6","0","R0603",-77.600000,70.800000,-90.000000,bottom
"R7","5.6k","R0603",-49.000000,4.378318,90.000000,bottom
"R8","5.6k","R0603",-51.500000,4.378318,90.000000,bottom
"R10","4.7k","R0603",-19.500000,67.000000,0.000000,bottom
"R12","4.7k","R0603",-19.000000,74.500000,0.000000,bottom
"R15","4.7k","R0603",-6.700000,87.200000,90.000000,bottom
"R16","4.7k","R0603",-4.200000,87.200000,90.000000,bottom
"R17","22","R0603",-28.512500,62.400000,90.000000,bottom
"R18","22","R0603",-28.512500,55.400000,90.000000,bottom
"R19","22","R0603",-28.512500,48.400000,90.000000,bottom
"R20","0","R_2512_6332Metric",-23.900000,62.400000,180.000000,bottom
